date,value_usd
2019-06-19,16221.27
2019-06-20,16407.03
2019-06-21,16396.23
2019-06-22,16453.7
2019-06-23,16488.6
2019-06-24,16454.32
2019-06-25,16548.63
2019-06-26,16615.88
2019-06-27,16359.16
2019-06-28,16540.26
2019-06-29,16539.01
2019-06-30,16379.86
2019-07-01,16439.44
2019-07-02,16486.02
2019-07-03,16825.18
2019-07-04,16804.09
2019-07-05,16646.99
2019-07-06,16685.9
2019-07-07,16725.63
2019-07-08,16575.52
2019-07-09,16602.02
2019-07-10,16731.91
2019-07-11,16680.95
2019-07-12,16653.92
2019-07-13,16522.7
2019-07-14,16312.95
2019-07-15,16369.97
2019-07-16,16054.31
2019-07-17,16055.17
2019-07-18,16282.26
2019-07-19,16190.03
2019-07-20,16223.12
2019-07-21,16193.61
2019-07-22,16263.2
2019-07-23,16305.63
2019-07-24,16449.91
2019-07-25,16281.49
2019-07-26,16334.15
2019-07-27,16244.09
2019-07-28,16247.09
2019-07-29,16227.43
2019-07-30,16240.43
2019-07-31,16169.0
2019-08-01,16113.23
2019-08-02,15830.45
2019-08-03,15863.84
2019-08-04,15881.91
2019-08-05,15587.78
2019-08-06,15585.56
2019-08-07,15673.51
2019-08-08,15863.02
2019-08-09,15799.59
2019-08-10,15761.86
2019-08-11,15760.14
2019-08-12,15635.81
2019-08-13,15674.82
2019-08-14,15308.87
2019-08-15,15293.05
2019-08-16,15411.44
2019-08-17,15409.18
2019-08-18,15453.64
2019-08-19,15629.7
2019-08-20,15570.37
2019-08-21,15564.52
2019-08-22,15485.73
2019-08-23,15388.32
2019-08-24,15363.14
2019-08-25,15350.15
2019-08-26,15456.07
2019-08-27,15462.22
2019-08-28,15447.34
2019-08-29,15521.5
2019-08-30,15585.14
2019-08-31,15595.61
2019-09-01,15603.9
2019-09-02,15666.06
2019-09-03,15724.23
2019-09-04,15898.5
2019-09-05,15951.13
2019-09-06,15861.23
2019-09-07,15883.8
2019-09-08,15864.53
2019-09-09,15873.62
2019-09-10,15858.49
2019-09-11,15985.89
2019-09-12,16122.39
2019-09-13,16086.35
2019-09-14,16099.65
2019-09-15,16093.55
