date,close
2021-01-04,10.8
2021-01-05,11.11
2021-01-06,11.05
2021-01-07,11.11
2021-01-08,11.01
2021-01-11,11.17
2021-01-12,11.18
2021-01-13,11.2
2021-01-14,11.44
2021-01-15,11.22
2021-01-19,11.32
2021-01-20,11.32
2021-01-21,11.5
2021-01-22,12.0
2021-01-25,12.09
2021-01-26,11.91
2021-01-27,11.45
2021-01-28,11.37
2021-01-29,11.35
2021-02-01,11.55
2021-02-02,11.9
2021-02-03,12.0
2021-02-04,11.99
2021-02-05,11.76
2021-02-08,11.78
2021-02-09,11.99
2021-02-10,11.88
2021-02-11,11.77
2021-02-12,11.8
2021-02-16,11.7
2021-02-17,11.81
2021-02-18,12.24
2021-02-19,12.71
2021-02-22,12.75
2021-02-23,12.14
2021-02-24,14.44
2021-02-25,13.12
2021-02-26,14.47
2021-03-01,14.6
2021-03-02,12.86
2021-03-03,11.87
2021-03-04,11.97
2021-03-05,12.7
2021-03-08,10.9
2021-03-09,11.31
2021-03-10,11.08
2021-03-11,11.2
2021-03-12,11.51
2021-03-15,11.53
2021-03-16,11.02
2021-03-17,11.0
2021-03-18,10.81
2021-03-19,11.05
2021-03-22,10.94
2021-03-23,10.63
2021-03-24,10.52
2021-03-25,10.56
2021-03-26,10.52
2021-03-29,10.73
2021-03-30,10.5
2021-03-31,10.77
2021-04-01,10.57
2021-04-05,10.69
2021-04-06,10.78
2021-04-07,10.69
2021-04-08,11.0
2021-04-09,11.03
2021-04-12,10.84
2021-04-13,10.75
2021-04-14,10.59
2021-04-15,10.54
2021-04-16,10.37
2021-04-19,10.25
2021-04-20,10.3
2021-04-21,10.48
2021-04-22,10.39
2021-04-23,10.49
2021-04-26,10.54
2021-04-27,10.5
2021-04-28,10.6
2021-04-29,10.66
2021-04-30,10.78
2021-05-03,10.81
2021-05-04,10.63
2021-05-05,10.4
2021-05-06,10.26
2021-05-07,10.21
2021-05-10,10.14
2021-05-11,10.02
2021-05-12,10.02
2021-05-13,10.08
2021-05-14,10.05
2021-05-17,10.0
2021-05-18,9.95
2021-05-19,9.91
2021-05-20,9.94
2021-05-21,10.0
2021-05-24,10.0
2021-05-25,9.97
2021-05-26,10.0
2021-05-27,9.93
2021-05-28,9.98
